 LED calibration
Run: 

Gain - PMT gain divided by 10^5
K_adc - conversion factor of MAROC channel (input charge in fC to ADC codes)
1pe, code - single photoelectron amplitude in ADC codes
Rel_sens - relative sensitivity of pixel

Cluster     Channel        Gain       K_adc   1pe, code    Rel_sens
===================================================================
 1         4         0         0     26.99      0.98
 1         5         0         0      1.21      0.98
 1         6         0         0      25.4      1.01
 1         7         0         0      1.47      1.01
 1         8         0         0     23.03      1.03
 1         9         0         0      1.15      1.03
 1        10         0         0     23.03      1.14
 1        11         0         0      1.26      1.14
 1        12         0         0     22.28      1.09
 1        13         0         0      1.06      1.09
 1        14         0         0     24.25       1.2
 1        15         0         0      1.07       1.2
 1        16         0         0     22.47       1.2
 1        17         0         0      0.99       1.2
 1        18         0         0     23.01       1.1
 1        19         0         0      0.99       1.1
 1        20         0         0     25.73      1.05
 1        21         0         0      1.86      1.05
 1        22         0         0     26.04      0.98
 1        23         0         0      1.11      0.98
 1        24         0         0     18.47      1.28
 1        25         0         0      0.84      1.28
 1        26         0         0     24.36      1.01
 1        27         0         0      1.06      1.01
 1        28         0         0     27.32      0.97
 1        29         0         0      1.26      0.97
 1        30         0         0     24.04       1.2
 1        31         0         0      1.57       1.2
 1        32         0         0     22.99      1.17
 1        33         0         0      1.14      1.17
 1        34         0         0      24.0      1.06
 1        35         0         0      1.02      1.06
 1        36         0         0     26.18      0.95
 1        37         0         0      1.64      0.95
 1        38         0         0     25.49      1.04
 1        39         0         0      1.16      1.04
 1        40         0         0     26.25      0.99
 1        41         0         0      1.32      0.99
 1        42         0         0     24.28      1.11
 1        43         0         0      1.42      1.11
 1        44         0         0     24.31      1.07
 1        45         0         0      1.06      1.07
 1        46         0         0     28.94      1.04
 1        47         0         0       1.2      1.04
 1        48         0         0     24.57      1.08
 1        49         0         0      1.16      1.08
 1        50         0         0     25.99      1.08
 1        51         0         0      1.45      1.08
 1        52         0         0     23.59      1.04
 1        53         0         0      1.61      1.04
 1        54         0         0     23.87      1.14
 1        55         0         0      1.27      1.14
 1        56         0         0     29.03      0.92
 1        57         0         0       1.3      0.92
 1        58         0         0     25.59       1.1
 1        59         0         0      1.17       1.1
 2         4         0         0     23.14      1.06
 2         5         0         0      0.95      1.06
 2         6         0         0     21.29      1.07
 2         7         0         0      1.14      1.07
 2         8         0         0     22.65      1.11
 2         9         0         0      1.32      1.11
 2        10         0         0     31.97      1.02
 2        11         0         0      1.47      1.02
 2        12         0         0     21.09       1.1
 2        13         0         0      1.01       1.1
 2        14         0         0     22.93      1.01
 2        15         0         0      1.27      1.01
 2        16         0         0     18.93      1.17
 2        17         0         0      1.56      1.17
 2        18         0         0     26.54      0.92
 2        19         0         0      1.07      0.92
 2        20         0         0     24.06      1.12
 2        21         0         0      0.64      1.12
 2        22         0         0      19.3      1.17
 2        23         0         0      0.83      1.17
 2        24         0         0     19.64      1.17
 2        25         0         0      1.06      1.17
 2        26         0         0     28.74      0.88
 2        27         0         0      1.32      0.88
 2        28         0         0     25.33      1.03
 2        29         0         0      1.19      1.03
 2        30         0         0     38.66      1.11
 2        31         0         0       1.2      1.11
 2        32         0         0     20.37      1.25
 2        33         0         0      0.99      1.25
 2        34         0         0     26.97      1.02
 2        35         0         0      1.16      1.02
 2        36         0         0     27.14      0.91
 2        37         0         0      1.13      0.91
 2        38         0         0     28.98      1.29
 2        39         0         0      1.13      1.29
 2        40         0         0     23.06      1.06
 2        41         0         0      1.41      1.06
 2        42         0         0     33.82      1.19
 2        43         0         0      1.21      1.19
 2        44         0         0     22.01       1.1
