cl	ch	pe	sens
1	4	23.45	1.36
1	5	1.60	1.36
1	6	22.67	1.13
1	7	2.32	1.13
1	8	21.49	1.44
1	9	1.82	1.44
1	10	23.28	1.16
1	11	1.71	1.16
1	12	17.03	1.47
1	13	1.30	1.47
1	14	21.76	1.11
1	15	1.93	1.11
1	16	28.32	1.37
1	17	2.10	1.37
1	18	25.07	1.18
1	19	1.76	1.18
1	20	21.56	1.21
1	21	1.47	1.21
1	22	27.52	1.34
1	23	1.88	1.34
1	24	17.10	0.98
1	25	0.92	0.98
1	26	20.17	1.10
1	27	1.67	1.10
1	28	24.62	1.41
1	29	2.19	1.41
1	30	26.48	0.93
1	31	2.17	0.93
1	32	28.74	0.86
1	33	1.97	0.86
1	34	19.32	1.23
1	35	1.08	1.23
1	36	29.74	1.18
1	37	2.42	1.18
1	38	21.30	1.28
1	39	1.84	1.28
1	40	21.33	1.05
1	41	1.21	1.05
1	42	26.45	1.17
1	43	2.13	1.17
1	44	22.23	1.06
1	45	1.78	1.06
1	46	26.13	1.18
1	47	2.57	1.18
1	48	17.90	1.33
1	49	1.32	1.33
1	50	23.72	1.17
1	51	1.91	1.17
1	52	30.11	0.75
1	53	2.43	0.75
1	54	19.78	1.23
1	55	1.40	1.23
1	56	24.62	1.02
1	57	1.33	1.02
1	58	22.71	0.98
1	59	1.21	0.98
2	4	24.08	1.23
2	5	1.59	1.23
2	6	27.76	1.29
2	7	2.07	1.29
2	8	27.96	0.99
2	9	2.25	0.99
2	10	19.92	0.85
2	11	1.02	0.85
2	12	17.67	1.22
2	13	1.78	1.22
2	14	18.16	1.43
2	15	1.94	1.43
2	16	19.53	0.88
2	17	1.54	0.88
2	18	21.20	1.36
2	19	1.47	1.36
2	20	24.25	1.18
2	21	1.82	1.18
2	22	26.50	1.13
2	23	2.15	1.13
2	24	17.06	1.30
2	25	1.03	1.30
2	26	36.42	0.71
2	27	2.52	0.71
2	28	21.14	0.90
2	29	1.47	0.90
2	30	27.68	1.09
2	31	1.84	1.09
2	32	27.25	0.94
2	33	2.41	0.94
2	34	27.22	1.20
2	35	2.61	1.20
2	36	21.38	1.28
2	37	1.48	1.28
2	38	21.80	1.37
2	39	1.46	1.37
2	40	22.84	1.28
2	41	1.66	1.28
2	42	18.70	1.27
2	43	1.43	1.27
2	44	30.26	1.44
2	45	2.54	1.44
2	46	35.23	0.76
2	47	2.05	0.76
2	48	22.45	0.92
2	49	1.10	0.92
2	50	15.39	0.94
2	51	0.78	0.94
2	52	16.21	1.15
2	53	1.27	1.15
2	54	23.30	1.44
2	55	2.14	1.44
2	56	23.42	1.09
2	57	1.70	1.09
2	58	24.04	1.14
2	59	1.92	1.14
3	4	19.27	1.15
3	5	1.08	1.15
3	6	25.94	0.95
3	7	2.65	0.95
3	8	23.13	1.25
3	9	1.68	1.25
3	10	18.17	1.23
3	11	1.47	1.23
3	12	17.83	0.93
3	13	1.46	0.93
3	14	21.44	0.94
3	15	1.93	0.94
3	16	25.00	1.03
3	17	2.28	1.03
3	18	23.70	0.98
3	19	1.67	0.98
3	20	25.73	1.15
3	21	2.03	1.15
3	22	27.11	0.62
3	23	1.53	0.62
3	24	16.13	1.17
3	25	1.26	1.17
3	26	24.77	1.05
3	27	2.18	1.05
3	28	20.68	1.10
3	29	1.83	1.10
3	30	22.60	1.11
3	31	1.85	1.11
3	32	24.26	0.97
3	33	1.88	0.97
3	34	32.43	0.81
3	35	2.81	0.81
3	36	30.34	1.12
3	37	2.55	1.12
3	38	26.83	1.14
3	39	2.23	1.14
3	40	20.43	1.19
3	41	1.59	1.19
3	42	22.67	1.39
3	43	1.52	1.39
3	44	21.21	1.17
3	45	1.58	1.17
3	46	24.05	1.19
3	47	2.25	1.19
3	48	17.41	1.04
3	49	0.90	1.04
3	50	26.77	0.90
3	51	1.79	0.90
3	52	26.09	0.97
3	53	2.02	0.97
3	54	23.61	0.60
3	55	1.42	0.60
3	56	21.18	1.16
3	57	1.52	1.16
3	58	18.74	1.31
3	59	1.67	1.31
4	4	19.78	0.98
4	5	1.69	0.98
4	6	26.09	1.16
4	7	2.22	1.16
4	8	23.85	1.44
4	9	2.18	1.44
4	10	38.86	0.51
4	11	2.78	0.51
4	12	25.51	1.14
4	13	2.01	1.14
4	14	15.83	0.99
4	15	1.18	0.99
4	16	23.82	1.25
4	17	2.19	1.25
4	18	20.87	1.31
4	19	1.84	1.31
4	20	20.79	1.34
4	21	1.85	1.34
4	22	28.23	1.19
4	23	2.56	1.19
4	24	21.82	0.94
4	25	0.92	0.94
4	26	41.30	0.76
4	27	3.32	0.76
4	28	26.80	1.45
4	29	2.53	1.45
4	30	28.26	1.01
4	31	3.04	1.01
4	32	25.11	1.22
4	33	2.45	1.22
4	34	26.24	1.12
4	35	2.09	1.12
4	36	27.98	1.27
4	37	2.92	1.27
4	38	27.31	0.70
4	39	2.26	0.70
4	40	18.80	1.10
4	41	1.40	1.10
4	42	27.44	0.91
4	43	1.79	0.91
4	44	31.41	0.80
4	45	1.85	0.80
4	46	24.06	1.03
4	47	1.62	1.03
4	48	28.93	0.69
4	49	2.27	0.69
4	50	27.74	1.05
4	51	1.94	1.05
4	52	13.08	1.15
4	53	0.88	1.15
4	54	20.29	1.01
4	55	1.49	1.01
4	56	25.21	1.04
4	57	2.33	1.04
4	58	23.48	0.93
4	59	1.61	0.93
5	4	26.48	0.97
5	5	2.83	0.97
5	6	20.02	1.12
5	7	1.88	1.12
5	8	25.01	1.04
5	9	2.19	1.04
5	10	25.37	0.48
5	11	1.21	0.48
5	12	16.58	1.27
5	13	1.19	1.27
5	14	20.76	1.09
5	15	1.69	1.09
5	16	23.97	1.11
5	17	2.26	1.11
5	18	24.65	1.38
5	19	2.41	1.38
5	20	24.53	1.04
5	21	1.85	1.04
5	22	28.11	1.27
5	23	1.91	1.27
5	24	14.92	1.09
5	25	1.24	1.09
5	26	20.37	1.11
5	27	1.98	1.11
5	28	24.83	0.88
5	29	2.83	0.88
5	30	22.57	0.97
5	31	1.86	0.97
5	32	20.60	1.04
5	33	1.66	1.04
5	34	19.98	1.17
5	35	1.49	1.17
5	36	25.00	1.24
5	37	2.15	1.24
5	38	26.25	1.30
5	39	2.34	1.30
5	40	23.40	1.19
5	41	1.49	1.19
5	42	26.10	1.31
5	43	2.27	1.31
5	44	27.46	0.75
5	45	2.34	0.75
5	46	29.47	1.16
5	47	2.46	1.16
5	48	21.01	1.11
5	49	1.69	1.11
5	50	20.44	1.17
5	51	2.07	1.17
5	52	21.39	1.02
5	53	1.76	1.02
5	54	23.48	1.16
5	55	1.82	1.16
5	56	21.61	0.91
5	57	1.76	0.91
5	58	24.31	1.08
5	59	2.01	1.08
6	4	25.56	1.10
6	5	2.16	1.10
6	6	27.58	0.82
6	7	2.00	0.82
6	8	21.28	1.17
6	9	1.96	1.17
6	10	24.72	0.70
6	11	1.65	0.70
6	12	21.69	1.12
6	13	2.39	1.12
6	14	30.82	1.04
6	15	2.83	1.04
6	16	20.79	1.08
6	17	1.71	1.08
6	18	22.42	1.04
6	19	1.78	1.04
6	20	22.96	0.99
6	21	1.96	0.99
6	22	21.50	1.12
6	23	1.90	1.12
6	24	21.08	0.86
6	25	1.31	0.86
6	26	27.47	1.31
6	27	2.55	1.31
6	28	23.54	1.12
6	29	1.88	1.12
6	30	23.39	1.11
6	31	1.22	1.11
6	32	21.65	1.11
6	33	1.77	1.11
6	34	25.01	0.94
6	35	1.90	0.94
6	36	24.95	1.01
6	37	2.38	1.01
6	38	24.37	1.28
6	39	2.57	1.28
6	40	23.86	1.04
6	41	1.63	1.04
6	42	25.10	1.24
6	43	1.99	1.24
6	44	25.57	0.95
6	45	1.69	0.95
6	46	30.44	0.73
6	47	1.85	0.73
6	48	17.26	1.25
6	49	1.31	1.25
6	50	29.73	1.15
6	51	2.68	1.15
6	52	28.76	1.11
6	53	2.38	1.11
6	54	28.71	1.16
6	55	2.44	1.16
6	56	24.62	0.94
6	57	1.52	0.94
6	58	31.40	1.24
6	59	2.47	1.24
7	4	24.82	0.99
7	5	2.24	0.99
7	6	21.55	1.21
7	7	1.67	1.21
7	8	19.87	0.81
7	9	1.19	0.81
7	10	28.84	0.41
7	11	1.36	0.41
7	12	15.67	1.18
7	13	0.95	1.18
7	14	22.83	1.06
7	15	1.53	1.06
7	16	18.53	1.16
7	17	1.38	1.16
7	18	31.45	0.94
7	19	3.05	0.94
7	20	24.66	1.31
7	21	1.82	1.31
7	22	27.52	1.00
7	23	2.41	1.00
7	24	22.23	0.82
7	25	1.58	0.82
7	26	27.13	0.88
7	27	2.40	0.88
7	28	20.07	1.22
7	29	1.73	1.22
7	30	25.43	1.01
7	31	2.31	1.01
7	32	23.54	1.02
7	33	1.93	1.02
7	34	18.53	1.06
7	35	0.96	1.06
7	36	26.75	1.01
7	37	1.62	1.01
7	38	25.28	1.11
7	39	1.47	1.11
7	40	22.79	1.20
7	41	2.07	1.20
7	42	27.91	1.03
7	43	1.84	1.03
7	44	24.33	1.05
7	45	1.44	1.05
7	46	20.62	1.21
7	47	1.85	1.21
7	48	22.60	1.34
7	49	1.50	1.34
7	50	19.92	1.02
7	51	1.10	1.02
7	52	18.57	1.00
7	53	0.97	1.00
7	54	25.83	0.86
7	55	1.94	0.86
7	56	16.70	0.90
7	57	0.76	0.90
7	58	23.91	1.18
7	59	1.90	1.18
8	4	27.14	0.94
8	5	2.95	0.94
8	6	26.34	1.03
8	7	2.47	1.03
8	8	35.68	0.58
8	9	2.89	0.58
8	10	19.64	1.14
8	11	1.76	1.14
8	12	24.56	1.20
8	13	2.52	1.20
8	14	25.12	0.59
8	15	1.39	0.59
8	16	27.18	1.04
8	17	2.67	1.04
8	18	24.83	0.67
8	19	1.76	0.67
8	20	20.68	1.02
8	21	1.66	1.02
8	22	21.41	1.12
8	23	2.13	1.12
8	24	18.08	1.15
8	25	1.52	1.15
8	26	21.90	1.13
8	27	1.90	1.13
8	28	21.86	0.99
8	29	2.04	0.99
8	30	29.08	1.09
8	31	2.47	1.09
8	32	24.12	0.73
8	33	1.82	0.73
8	34	28.60	1.06
8	35	2.40	1.06
8	36	22.73	0.81
8	37	1.65	0.81
8	38	19.83	0.86
8	39	1.31	0.86
8	40	20.26	1.20
8	41	1.49	1.20
8	42	25.86	1.01
8	43	2.14	1.01
8	44	29.26	1.44
